country,year,gdp_per_hour_worked_1990_100
deu,2008,146.39999389648438
deu,2009,142.60000610351562
deu,2010,146.1999969482422
deu,2011,149.10000610351562
deu,2012,150.0
deu,2013,150.60000610351562
deu,2014,150.6999969482422
deu,2015,152.3000030517578
grc,1980,94.5
grc,1981,89.9000015258789
grc,1982,91.19999694824219
grc,1983,91.30000305175781
grc,1984,94.0
grc,1985,94.5999984741211
grc,1986,95.80000305175781
grc,1987,95.4000015258789
grc,1988,98.0999984741211
grc,1989,101.4000015258789
grc,1990,100.0
grc,1991,104.9000015258789
grc,1992,105.4000015258789
grc,1993,102.5999984741211
grc,1994,103.19999694824219
grc,1995,104.30000305175781
grc,1996,108.0
grc,1997,113.4000015258789
grc,1998,113.0
grc,1999,116.5999984741211
grc,2000,120.69999694824219
grc,2001,125.0999984741211
grc,2002,126.5
grc,2003,133.10000610351562
grc,2004,137.0
grc,2005,133.5
grc,2006,139.5
grc,2007,143.5
grc,2008,141.39999389648438
grc,2009,137.5
grc,2010,137.6999969482422
grc,2011,127.80000305175781
grc,2012,134.10000610351562
grc,2013,133.89999389648438
grc,2014,135.10000610351562
grc,2015,136.6999969482422
hkg,1980,60.400001525878906
hkg,1981,61.900001525878906
hkg,1982,64.19999694824219
hkg,1983,67.69999694824219
hkg,1984,72.4000015258789
hkg,1985,72.30000305175781
hkg,1986,77.5
hkg,1987,86.9000015258789
hkg,1988,90.30000305175781
hkg,1989,94.9000015258789
hkg,1990,100.0
hkg,1991,102.5999984741211
hkg,1992,113.69999694824219
hkg,1993,116.0999984741211
hkg,1994,121.4000015258789
hkg,1995,126.30000305175781
hkg,1996,123.30000305175781
hkg,1997,128.39999389648438
hkg,1998,122.4000015258789
hkg,1999,123.69999694824219
hkg,2000,127.5999984741211
hkg,2001,126.80000305175781
hkg,2002,129.10000610351562
hkg,2003,135.10000610351562
hkg,2004,141.60000610351562
hkg,2005,149.89999389648438
hkg,2006,159.39999389648438
hkg,2007,164.89999389648438
hkg,2008,170.60000610351562
hkg,2009,168.39999389648438
hkg,2010,168.1999969482422
hkg,2011,182.6999969482422
hkg,2012,181.5
hkg,2013,183.3000030517578
hkg,2014,185.60000610351562
hkg,2015,188.60000610351562
hun,1980,88.30000305175781
hun,1981,85.30000305175781
hun,1982,92.9000015258789
hun,1983,93.5
hun,1984,100.0999984741211
hun,1985,99.5
hun,1986,102.19999694824219
hun,1987,101.80000305175781
hun,1988,104.19999694824219
hun,1989,103.5
hun,1990,100.0
hun,1991,94.69999694824219
hun,1992,102.4000015258789
hun,1993,108.69999694824219
hun,1994,106.80000305175781
hun,1995,110.19999694824219
hun,1996,110.5
hun,1997,112.69999694824219
hun,1998,115.5999984741211
hun,1999,115.19999694824219
hun,2000,119.30000305175781
hun,2001,126.4000015258789
hun,2002,131.39999389648438
hun,2003,138.1999969482422
hun,2004,145.6999969482422
hun,2005,152.3000030517578
hun,2006,157.89999389648438
hun,2007,158.89999389648438
hun,2008,163.1999969482422
hun,2009,157.89999389648438
hun,2010,160.0
hun,2011,161.39999389648438
hun,2012,166.10000610351562
hun,2013,167.89999389648438
hun,2014,170.60000610351562
hun,2015,171.8000030517578
isl,1980,88.9000015258789
isl,1981,88.80000305175781
isl,1982,87.80000305175781
isl,1983,85.5999984741211
isl,1984,87.9000015258789
isl,1985,87.69999694824219
isl,1986,90.69999694824219
isl,1987,93.19999694824219
isl,1988,95.5
isl,1989,97.4000015258789
isl,1990,100.0
isl,1991,99.5999984741211
isl,1992,95.4000015258789
isl,1993,98.5
isl,1994,102.0999984741211
isl,1995,98.30000305175781
isl,1996,101.30000305175781
isl,1997,110.5999984741211
isl,1998,114.4000015258789
isl,1999,111.5
isl,2000,113.69999694824219
isl,2001,118.5
isl,2002,123.0999984741211
isl,2003,126.30000305175781
isl,2004,136.39999389648438
isl,2005,140.60000610351562
isl,2006,140.1999969482422
isl,2007,149.3000030517578
isl,2008,149.6999969482422
isl,2009,158.3000030517578
isl,2010,155.39999389648438
isl,2011,155.1999969482422
isl,2012,157.8000030517578
isl,2013,158.39999389648438
isl,2014,158.5
isl,2015,160.10000610351562
idn,1980,88.9000015258789
idn,1981,91.0
idn,1982,81.5999984741211
idn,1983,84.30000305175781
idn,1984,87.80000305175781
idn,1985,86.0999984741211
idn,1986,87.0999984741211
idn,1987,88.4000015258789
idn,1988,89.5999984741211
idn,1989,94.0999984741211
idn,1990,100.0
idn,1991,107.5
idn,1992,114.5
idn,1993,120.80000305175781
idn,1994,124.80000305175781
idn,1995,137.60000610351562
idn,1996,140.0
idn,1997,140.6999969482422
idn,1998,121.69999694824219
idn,1999,119.30000305175781
idn,2000,121.69999694824219
idn,2001,123.30000305175781
idn,2002,128.8000030517578
idn,2003,119.30000305175781
idn,2004,121.19999694824219
idn,2005,130.6999969482422
idn,2006,135.60000610351562
idn,2007,144.0
idn,2008,148.39999389648438
idn,2009,157.39999389648438
idn,2010,159.60000610351562
idn,2011,170.5
idn,2012,181.3000030517578
idn,2013,188.3000030517578
idn,2014,199.3000030517578
idn,2015,205.89999389648438
irl,1980,70.5
irl,1981,74.19999694824219
irl,1982,76.5
irl,1983,77.30000305175781
irl,1984,82.9000015258789
irl,1985,82.69999694824219
irl,1986,82.5
irl,1987,86.80000305175781
irl,1988,91.0
irl,1989,95.80000305175781
irl,1990,100.0
irl,1991,103.9000015258789
irl,1992,109.4000015258789
irl,1993,112.19999694824219
irl,1994,114.9000015258789
irl,1995,120.19999694824219
irl,1996,126.0999984741211
irl,1997,135.89999389648438
irl,1998,142.10000610351562
irl,1999,147.89999389648438
irl,2000,155.8000030517578
irl,2001,159.8000030517578
irl,2002,168.1999969482422
irl,2003,171.60000610351562
irl,2004,174.60000610351562
irl,2005,175.10000610351562
irl,2006,177.0
irl,2007,179.1999969482422
irl,2008,177.6999969482422
irl,2009,183.6999969482422
irl,2010,192.0
irl,2011,200.89999389648438
irl,2012,201.0
irl,2013,195.6999969482422
irl,2014,200.89999389648438
irl,2015,200.6999969482422
isr,1981,83.30000305175781
isr,1982,84.5999984741211
isr,1983,85.5
isr,1984,84.9000015258789
isr,1985,88.4000015258789
isr,1986,91.69999694824219
isr,1987,96.0999984741211
isr,1988,96.80000305175781
isr,1989,95.5
isr,1990,100.0
isr,1991,101.9000015258789
isr,1992,102.4000015258789
isr,1993,100.4000015258789
isr,1994,98.9000015258789
isr,1995,99.19999694824219
isr,1996,100.0999984741211
isr,1997,101.30000305175781
isr,1998,104.30000305175781
isr,1999,104.0999984741211
isr,2000,109.0
isr,2001,109.4000015258789
isr,2002,107.5
isr,2003,108.0999984741211
isr,2004,113.0
isr,2005,114.69999694824219
isr,2006,118.5
isr,2007,119.9000015258789
isr,2008,120.19999694824219
