country,year,gdp_per_person_engaged_1990_100
lva,2015,193.6999969482422
ltu,1980,89.30000305175781
ltu,1981,92.30000305175781
ltu,1982,95.80000305175781
ltu,1983,96.19999694824219
ltu,1984,96.69999694824219
ltu,1985,93.0999984741211
ltu,1986,95.80000305175781
ltu,1987,96.9000015258789
ltu,1988,104.30000305175781
ltu,1989,103.19999694824219
ltu,1990,100.0
ltu,1991,92.0999984741211
ltu,1992,74.0999984741211
ltu,1993,64.80000305175781
ltu,1994,62.0
ltu,1995,73.69999694824219
ltu,1996,76.9000015258789
ltu,1997,82.5999984741211
ltu,1998,89.5999984741211
ltu,1999,90.69999694824219
ltu,2000,98.19999694824219
ltu,2001,108.9000015258789
ltu,2002,112.30000305175781
ltu,2003,121.0999984741211
ltu,2004,131.5
ltu,2005,140.60000610351562
ltu,2006,151.5
ltu,2007,165.0
ltu,2008,171.60000610351562
ltu,2009,158.3000030517578
ltu,2010,169.89999389648438
ltu,2011,179.39999389648438
ltu,2012,183.10000610351562
ltu,2013,186.5
ltu,2014,188.1999969482422
ltu,2015,191.60000610351562
lux,1980,76.5
lux,1981,77.0
lux,1982,76.9000015258789
lux,1983,79.4000015258789
lux,1984,83.80000305175781
lux,1985,85.5
lux,1986,90.0
lux,1987,89.5999984741211
lux,1988,96.0999984741211
lux,1989,102.0
lux,1990,100.0
lux,1991,104.5
lux,1992,103.5
lux,1993,106.0
lux,1994,107.0999984741211
lux,1995,105.9000015258789
lux,1996,104.80000305175781
lux,1997,107.69999694824219
lux,1998,109.80000305175781
lux,1999,113.4000015258789
lux,2000,116.5
lux,2001,112.4000015258789
lux,2002,112.80000305175781
lux,2003,112.0
lux,2004,114.9000015258789
lux,2005,116.4000015258789
lux,2006,117.5999984741211
lux,2007,119.9000015258789
lux,2008,115.0
lux,2009,107.69999694824219
lux,2010,111.19999694824219
lux,2011,110.9000015258789
lux,2012,108.0999984741211
lux,2013,108.0999984741211
lux,2014,107.5999984741211
lux,2015,107.69999694824219
mkd,1980,129.39999389648438
mkd,1981,126.19999694824219
mkd,1982,123.19999694824219
mkd,1983,116.5
mkd,1984,117.30000305175781
mkd,1985,113.5999984741211
mkd,1986,117.30000305175781
mkd,1987,110.69999694824219
mkd,1988,107.5
mkd,1989,109.69999694824219
mkd,1990,100.0
mkd,1991,96.5999984741211
